,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,sat_score
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0
2,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0
3,01M458,FORSYTH SATELLITE ACADEMY,7,414.0,401.0,359.0,1174.0
4,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0
5,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332.0,557.0,316.0,1205.0
6,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0
7,01M650,CASCADES HIGH SCHOOL,18,417.0,418.0,411.0,1246.0
8,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0
9,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0
10,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0
11,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0
12,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0
13,02M298,PACE HIGH SCHOOL,85,423.0,438.0,432.0,1293.0
14,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404.0,449.0,416.0,1269.0
15,02M303,"FACING HISTORY SCHOOL, THE",76,353.0,358.0,340.0,1051.0
16,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375.0,388.0,385.0,1148.0
17,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403.0,392.0,405.0,1200.0
18,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408.0,390.0,390.0,1188.0
19,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373.0,370.0,384.0,1127.0
20,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391.0,391.0,394.0,1176.0
21,02M376,NYC ISCHOOL,92,473.0,483.0,479.0,1435.0
22,02M392,MANHATTAN BUSINESS ACADEMY,s,,,,
23,02M393,BUSINESS OF SPORTS SCHOOL,s,,,,
24,02M394,EMMA LAZARUS HIGH SCHOOL,79,319.0,512.0,357.0,1188.0
25,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,s,,,,
26,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465.0,493.0,461.0,1419.0
27,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492.0,465.0,467.0,1424.0
28,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509.0,490.0,523.0,1522.0
29,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496.0,563.0,518.0,1577.0
